School Name,School Name Short,Town,School Type,TOTAL_Enrollment,Average Class Size,% Economically Disadvantaged,% High Needs,% English Language Learner,% Students With Disabilities,% Graduated,% Dropped Out,% Attending College,Average SAT_Math,Average SAT_Reading,% AP_Score 3-5,Average Expenditures per Pupil,Accountability and Assistance Level,School Accountability Percentile (1-99),AI_Classification,AI_Insight,AI_Key_Strength,AI_Key_Concern,School_Level,IF_Classification,State_Level
Bedford High,Bedford High,Bedford,Public School,888,12.3,7.8,22.7,1.0,16.0,95.2,1.4,91.5,572.0,566.0,91.6,17839.45,Level 1,87.0,Thriving,Bedford High boasts an impressive graduation rate of 95.2% and high college attendance.,Graduation,N/A,High School,Thriving,Level 1
Belchertown High,Belchertown Hig,Belchertown,Public School,710,14.0,13.5,22.1,0.1,12.0,91.6,2.2,89.9,544.0,544.0,85.0,12591.99,Level 1,84.0,Thriving,Belchertown High showcases excellent college attendance rates and strong AP performance.,College attendance,N/A,High School,Thriving,Level 1
Bellingham High School,Bellingham HS,Bellingham,Public School,739,18.3,15.6,31.7,1.1,19.4,94.3,0.6,70.1,518.0,515.0,50.0,13220.48,Level 2,64.0,Performing,Bellingham High School showcases strong graduation and low dropout rates.,Graduation,SAT scores,High School,Thriving,Level 2
Belmont High,Belmont High,Belmont,Public School,1264,19.2,6.5,14.3,2.1,5.7,97.8,0.6,86.2,610.0,587.0,92.4,13028.52,Level 1,93.0,Thriving,Belmont High boasts an impressive graduation rate of 97.8% and exceptional AP performance.,Graduation rate,None,High School,Thriving,Level 1
Beverly High,Beverly High,Beverly,Public School,1285,18.9,23.8,35.2,2.0,17.7,90.8,3.2,76.6,523.0,517.0,64.4,13188.37,Level 2,39.0,Performing,Beverly High maintains a solid graduation rate with a commendable college attendance percentage.,Graduation rate,SAT scores,High School,Thriving,Level 2
Billerica Memorial High School,Billerica Memor,Billerica,Public School,1376,17.7,15.2,26.7,1.2,14.9,92.4,3.5,76.3,540.0,521.0,69.4,15434.97,Level 2,47.0,Performing,Billerica Memorial High School boasts a strong graduation rate of 92.4%.,Graduation Rate,SAT Scores,High School,Thriving,Level 2
Another Course To College,Another Course,Hyde Park,Public School,223,16.8,61.4,73.1,17.0,22.0,96.2,1.9,81.4,407.0,377.0,5.6,19246.36,Level 2,27.0,Performing,The school boasts a high graduation rate and college attendance despite lower SAT and AP scores.,Graduation Rate,Standardized Test Scores,High School,Thriving,Level 2
Boston Adult Academy,Boston Adult Ac,Back Bay,Public School,197,18.1,51.3,93.4,74.6,7.1,27.6,13.8,32.6,,,,19246.36,Insufficient data,,At Risk,"The graduation rate is alarmingly low at 27.6%, indicating urgent need for intervention.",None,Graduation rate,High School,At Risk,Insufficient data
Boston Arts Academy,Boston Arts Aca,Boston,Public School,447,14.6,43.6,55.3,4.5,13.4,89.8,3.1,77.8,435.0,437.0,0.0,19246.36,Level 1,21.0,Performing,Boston Arts Academy has a solid graduation rate but lacks AP success.,Graduation,AP Scores,High School,Performing,Level 1
Boston Community Leadership Academy,Boston Comm Lea,Hyde Park,Public School,500,16.5,56.0,77.2,24.6,22.0,89.3,3.3,81.7,431.0,396.0,18.3,19246.36,Level 2,23.0,Performing,"The school has a solid graduation rate and college attendance, indicating stable outcomes.",Graduation rate,SAT scores,High School,Performing,Level 2
Boston International High School,Boston Intl HS,Dorchester,Public School,378,15.3,60.3,99.5,79.6,4.2,55.6,18.1,75.5,347.0,313.0,43.8,19246.36,Level 1,,Struggling,The school has a high dropout rate despite a notable college attendance percentage.,College Attendance,Graduation Rate,High School,At Risk,Level 1
Boston Latin,Boston Latin,Boston,Public School,2403,25.8,15.7,20.8,3.2,2.1,98.1,0.2,94.1,647.0,629.0,82.7,19246.36,Level 2,96.0,Thriving,Boston Latin boasts exceptional graduation and college attendance rates alongside high SAT and AP scores.,Achievement,Equity,High School,Thriving,Level 2
Boston Latin Academy,Boston Latin Ac,Dorchester,Public School,1698,17.9,31.7,36.6,1.8,2.9,96.9,0.8,92.0,557.0,526.0,50.3,19246.36,Level 2,91.0,Thriving,Boston Latin Academy boasts a remarkable graduation rate of 96.9% and high college attendance.,Graduation rate,SAT scores,High School,Thriving,Level 2
Brighton High,Brighton High,Brighton,Public School,811,17.8,61.0,86.2,41.6,23.8,62.0,19.4,66.2,392.0,357.0,3.8,19246.36,Level 4,2.0,At Risk,Brighton High faces significant challenges with low graduation rates and high dropout rates.,Diversity,Graduation,High School,Struggling,Level 4
Charlestown High,Charlestown Hig,Charlestown,Public School,910,15.2,62.9,87.4,41.5,25.3,53.9,19.8,65.5,433.0,346.0,26.0,19246.36,Level 3,9.0,At Risk,Charlestown High faces significant challenges with a graduation rate below 54% and a high dropout rate.,College attendance,Graduation rate,High School,At Risk,Level 3
Community Academy of Science and Health,Comm Acad Sci H,Dorchester,Public School,365,16.6,66.8,86.6,31.0,36.2,75.7,3.6,52.7,374.0,337.0,4.3,19246.36,Level 3,6.0,Struggling,"The school's SAT scores are significantly below average, indicating academic challenges.",Graduation rate,SAT performance,High School,Struggling,Level 3
Dorchester Academy,Dorchester Acad,Dorchester,Public School,99,10.7,72.7,77.8,8.1,34.3,16.4,37.7,56.1,405.0,373.0,,19246.36,Level 4,,At Risk,Dorchester Academy has a notably low graduation rate of just 16.4%.,Support,Graduation,High School,At Risk,Level 4
East Boston High,E Boston High,East Boston,Public School,1496,17.7,46.0,80.2,43.4,15.4,67.7,12.7,56.3,415.0,384.0,14.0,19246.36,Level 3,6.0,At Risk,East Boston High shows alarmingly low graduation and college attendance rates.,Community support,Low achievement,High School,Struggling,Level 3
Excel High School,Excel HS,South Boston,Public School,525,17.0,64.6,84.4,29.7,27.4,66.3,18.7,71.4,405.0,345.0,18.8,19246.36,Level 4,3.0,At Risk,"Excel High School has high dropout rates and low graduation rates, indicating severe challenges.",College Attendance,Graduation Rate,High School,Struggling,Level 4
Fenway High School,Fenway HS,Roxbury,Public School,360,21.9,48.3,66.9,20.0,19.7,87.7,4.1,75.3,437.0,392.0,,19246.36,Level 1,37.0,Performing,Fenway High School has a commendable graduation rate and college attendance despite challenges faced by its student population.,Graduation Rate,SAT Scores,High School,Performing,Level 1
Greater Egleston Community High School,Greater Eglesto,Roxbury,Public School,225,15.3,60.0,75.1,24.0,12.9,27.1,8.3,51.5,403.0,357.0,,19246.36,Level 3,,At Risk,The school's graduation rate is critically low at only 27.1%.,College Attendance,Graduation Rate,High School,At Risk,Level 3
Jeremiah E Burke High,Jeremiah E Burk,Dorchester,Public School,489,18.2,61.1,82.6,34.4,12.1,74.0,15.4,45.6,380.0,355.0,4.8,19246.36,Level 3,11.0,Struggling,The school faces significant challenges with low graduation and college attendance rates.,Enrollment,Dropout rate,High School,Struggling,Level 3
Lyon Upper 9-12,Lyon Upper 9-12,Brighton,Public School,126,11.9,49.2,78.6,9.5,41.3,88.2,2.9,75.0,389.0,411.0,,19246.36,Level 3,7.0,Struggling,The school faces challenges with low SAT scores despite a good graduation rate.,Graduation rate,SAT scores,High School,Performing,Level 3
Madison Park High,Madison Park Hi,Roxbury,Public School,841,11.7,68.1,87.9,33.7,34.8,59.1,20.5,46.6,358.0,352.0,,19246.36,Level 4,1.0,At Risk,Madison Park High has a significantly low graduation rate and high dropout rate.,Enrollment,Graduation,High School,At Risk,Level 4
New Mission High School,New Mission HS,Hyde Park,Public School,320,16.5,53.1,60.9,5.9,16.3,98.7,0.0,89.5,428.0,397.0,10.1,19246.36,Level 1,64.0,Performing,New Mission HS boasts a high graduation rate and college attendance despite modest SAT and AP scores.,Graduation rate,Standardized tests,High School,Thriving,Level 1
O'Bryant School Math/Science,O'Bryant Sch Ma,Roxbury,Public School,1437,22.3,44.7,52.0,3.5,3.5,95.6,1.6,88.5,527.0,482.0,39.9,19246.36,Level 1,87.0,Thriving,O'Bryant School boasts a high graduation rate and impressive college attendance among its students.,Graduation Rate,SAT Scores,High School,Thriving,Level 1
Quincy Upper School,Quincy Upper,Boston,Public School,506,24.7,63.6,76.7,16.2,17.0,86.8,0.0,76.4,459.0,409.0,,19246.36,Level 3,26.0,Performing,Quincy Upper School demonstrates solid graduation and college attendance rates despite economic challenges.,Graduation rates,SAT scores,High School,Performing,Level 3
Snowden International School at Copley,Snowden Intl Sc,Boston,Public School,439,17.7,62.6,75.6,18.9,20.5,70.7,15.9,75.4,390.0,382.0,,19246.36,Level 3,10.0,Struggling,Graduation and SAT scores indicate significant challenges for student success at Snowden International School.,College Attendance,Graduation Rate,High School,Struggling,Level 3
TechBoston Academy,TechBoston Acad,Dorchester,Public School,972,17.3,66.6,81.7,22.7,22.1,84.3,5.2,71.2,402.0,365.0,34.0,19246.36,Level 2,19.0,Performing,TechBoston Academy has a solid graduation rate but struggles with SAT scores.,Graduation rate,SAT scores,High School,Performing,Level 2
The English High,English High,Jamaica Plain,Public School,553,15.1,65.3,82.6,37.8,19.7,58.7,28.3,57.0,362.0,333.0,10.7,19246.36,Level 4,18.0,At Risk,The school has a notably low graduation rate and high dropout rate.,Diversity,Graduation,High School,At Risk,Level 4
Urban Science Academy,Urban Sci Acad,West Roxbury,Public School,432,15.3,55.1,69.2,12.7,26.2,70.0,11.7,56.8,401.0,387.0,7.1,19246.36,Level 3,5.0,Struggling,Urban Science Academy faces significant challenges with low graduation and college attendance rates.,Small class size,Low graduation rate,High School,Struggling,Level 3
West Roxbury Academy,W Roxbury Acad,West Roxbury,Public School,496,18.0,59.5,79.2,26.4,21.4,73.6,12.3,62.9,372.0,360.0,0.0,19246.36,Level 3,4.0,Struggling,West Roxbury Academy has notably low SAT scores and no AP students scoring 3 or higher.,Engagement,Academic performance,High School,Struggling,Level 3
William McKinley,William McKinle,Boston,Public School,337,6.7,74.5,99.7,21.7,96.1,29.4,21.6,21.4,,,,19246.36,Level 3,5.0,At Risk,The school faces severe challenges with a graduation rate of only 29.4%.,Support,Graduation,High School,At Risk,Level 3
Bourne High School,Bourne HS,Bourne,Public School,436,16.4,24.8,32.6,0.2,16.7,91.9,2.7,68.1,508.0,499.0,60.7,14969.24,Level 2,48.0,Performing,"Bourne HS has a solid graduation rate and AP performance, but average college attendance.",Graduation rate,College attendance,High School,Performing,Level 2
Braintree High,Braintree High,Braintree,Public School,1755,16.1,17.9,34.5,3.0,21.1,95.2,1.8,86.9,541.0,518.0,85.3,13837.58,Level 2,68.0,Thriving,Braintree High boasts impressive graduation rates and high AP success.,Graduation Rate,SAT Scores,High School,Thriving,Level 2
Brockton Champion High School,Brockton Champi,Brockton,Public School,177,8.2,64.4,76.3,9.6,35.0,37.8,22.2,55.9,,,,14213.65,Level 3,,At Risk,Brockton Champion High School has a notably low graduation rate of 37.8%.,College Attendance,Graduation Rate,High School,At Risk,Level 3
Brockton High,Brockton High,Brockton,Public School,4264,20.4,46.8,62.1,17.8,11.9,89.9,3.0,76.0,453.0,440.0,33.0,14213.65,Level 1,36.0,Performing,Brockton High has a strong graduation rate but faces challenges in SAT performance.,Graduation rate,SAT scores,High School,Performing,Level 1
Edison Academy,Edison Acad,Brockton,Public School,153,10.8,54.2,88.2,52.3,13.7,44.6,21.1,40.1,,,,14213.65,Insufficient data,,At Risk,"The graduation rate is critically low at 44.6%, indicating urgent intervention is needed.",Engagement,Graduation,High School,At Risk,Insufficient data
Brookline High,Brookline High,Brookline,Public School,2009,14.3,11.7,28.0,3.7,16.2,93.4,1.8,80.9,617.0,599.0,94.6,17652.46,Level 1,81.0,Thriving,Brookline High boasts high graduation rates and outstanding AP performance.,AP Scores,None,High School,Thriving,Level 1
Burlington High,Burlington High,Burlington,Public School,1103,15.4,8.3,19.9,1.4,10.7,97.2,0.4,85.8,540.0,521.0,79.3,19237.98,Level 2,65.0,Thriving,Burlington High boasts an impressive graduation rate of 97.2% alongside strong college attendance.,Graduation Rate,SAT Scores,High School,Thriving,Level 2
Cambridge Rindge and Latin,Cambridge Rindg,Cambridge,Public School,1956,15.5,27.4,40.5,5.4,16.6,92.5,2.4,80.6,526.0,521.0,83.2,27568.87,Level 2,48.0,Performing,The school boasts a high graduation rate and commendable college attendance.,Graduation rate,SAT scores,High School,Thriving,Level 2
Canton High,Canton High,Canton,Public School,951,17.1,11.6,17.8,1.1,7.7,97.3,1.8,87.7,537.0,520.0,67.3,14167.52,Level 2,75.0,Thriving,Canton High boasts an impressive graduation rate and college attendance percentage.,Graduation Rate,SAT Scores,High School,Thriving,Level 2
Carver Middle/High School,Carver Middle/H,Carver,Public School,836,15.5,17.9,31.5,0.4,20.1,90.4,3.8,75.5,517.0,514.0,51.8,14262.48,Level 2,34.0,Performing,Carver Middle/High School demonstrates solid graduation rates and college attendance with average academic performance.,Graduation Rate,SAT Scores,High School,Thriving,Level 2
Chelmsford High,Chelmsford High,North Chelmsford,Public School,1484,16.8,8.6,20.4,0.7,12.6,95.5,2.4,89.5,556.0,545.0,76.2,13288.93,Level 1,84.0,Thriving,Chelmsford High boasts a high graduation rate and strong college attendance.,Graduation rate,None,High School,Thriving,Level 1
Chelsea High,Chelsea High,Chelsea,Public School,1545,23.0,46.7,71.9,31.3,9.3,62.5,21.5,71.0,449.0,448.0,31.1,13770.24,Level 3,4.0,Struggling,Chelsea High faces significant challenges with a high dropout rate and low graduation rates.,College Attendance,Graduation Rate,High School,At Risk,Level 3
Chicopee Comprehensive High School,Chicopee Compre,Chicopee,Public School,1430,15.9,42.4,50.1,3.1,15.9,80.7,9.8,67.9,479.0,471.0,43.3,13659.72,Level 3,8.0,Struggling,Chicopee Comprehensive High School shows concerning graduation and college attendance rates despite a moderate engagement level.,Graduation rate,College attendance,High School,Performing,Level 3
Chicopee High,Chicopee High,Chicopee,Public School,947,13.7,47.4,56.4,3.9,20.1,80.9,11.2,77.2,470.0,478.0,47.6,13659.72,Level 3,5.0,Struggling,Chicopee High's high dropout rate highlights significant challenges in student retention.,College Attendance,Dropout Rate,High School,Struggling,Level 3
Clinton Senior High,Clinton Senior,Clinton,Public School,466,12.6,33.3,45.7,4.1,19.5,93.3,1.0,74.0,505.0,497.0,40.8,12929.6,Level 2,39.0,Performing,Clinton Senior High has strong graduation and college attendance rates.,Graduation rate,SAT scores,High School,Thriving,Level 2
Cohasset Middle/High School,Cohasset Middle,Cohasset,Public School,838,17.8,4.3,16.2,0.1,12.3,99.1,0.0,92.9,562.0,564.0,85.9,14937.37,Level 1,92.0,Thriving,Cohasset Middle/High School boasts an exceptional graduation rate and high college attendance.,Graduation Rate,N/A,High School,Thriving,Level 1
Danvers High,Danvers High,Danvers,Public School,974,16.7,14.2,26.0,0.6,13.9,94.6,3.1,81.4,523.0,515.0,66.4,14607.15,Level 2,58.0,Performing,Danvers High boasts a high graduation rate with strong AP performance.,Graduation rate,SAT scores,High School,Thriving,Level 2
Dartmouth High,Dartmouth High,Dartmouth,Public School,1064,16.8,15.8,23.9,1.0,10.0,92.1,2.3,80.6,530.0,516.0,85.4,12487.23,Level 2,45.0,Performing,Dartmouth High boasts a strong graduation rate and high AP performance.,Graduation rate,SAT scores,High School,Thriving,Level 2
Dedham High,Dedham High,Dedham,Public School,739,15.8,18.0,32.1,3.8,15.2,96.2,1.6,79.3,520.0,490.0,58.5,17779.59,Level 2,70.0,Performing,Dedham High has high graduation and college attendance rates with solid AP performance.,Graduation rate,SAT scores,High School,Thriving,Level 2
Douglas High School,Douglas HS,Douglas,Public School,394,13.7,12.7,26.4,0.3,17.8,89.9,2.0,79.2,521.0,520.0,59.6,11612.24,Level 2,38.0,Performing,Douglas High School demonstrates solid graduation and college attendance rates with average SAT performance.,Graduation,SAT Scores,High School,Performing,Level 2
Dracut Senior High,Dracut Senior H,Dracut,Public School,801,18.5,13.9,22.3,0.9,10.0,94.3,3.7,84.7,508.0,503.0,76.0,11380.49,Level 2,60.0,Performing,Dracut Senior High demonstrates strong graduation and college attendance rates.,Graduation rate,SAT scores,High School,Thriving,Level 2
Duxbury High,Duxbury High,Duxbury,Public School,1057,19.8,5.5,16.0,0.2,11.7,98.5,1.1,89.7,565.0,545.0,71.7,13156.23,Level 1,95.0,Thriving,Duxbury High boasts an impressive graduation rate of 98.5% and strong college attendance.,Graduation,SAT Scores,High School,Thriving,Level 1
East Bridgewater JR./SR. High School,E Bridgewater J,East Bridgewater,Public School,1051,19.9,14.1,25.7,0.5,14.7,95.9,3.4,87.0,500.0,518.0,54.4,10399.97,Level 2,56.0,Performing,The school boasts a high graduation rate and college attendance despite average SAT and AP scores.,Graduation,SAT scores,High School,Thriving,Level 2
East Longmeadow High,E Longmeadow Hi,East Longmeadow,Public School,870,17.0,13.7,26.8,1.1,14.9,97.2,0.0,90.0,540.0,526.0,82.9,13554.78,Level 2,66.0,Thriving,East Longmeadow High boasts an impressive graduation rate and college attendance.,Graduation rate,SAT scores,High School,Thriving,Level 2
Easthampton High,Easthampton Hig,Easthampton,Public School,471,17.9,27.6,37.6,1.7,15.5,88.5,5.3,77.4,500.0,493.0,42.3,12916.13,Level 1,32.0,Performing,Easthampton High shows solid graduation and college attendance rates with moderate SAT and AP performance.,Graduation rate,SAT scores,High School,Performing,Level 1
Oliver Ames High,Oliver Ames Hig,North Easton,Public School,1199,19.6,10.5,23.6,0.8,15.2,97.8,0.4,90.5,550.0,543.0,71.8,12730.58,Level 2,63.0,Thriving,Oliver Ames High boasts a high graduation rate and strong college attendance statistics.,Graduation Rate,N/A,High School,Thriving,Level 2
Everett High,Everett High,Everett,Public School,2023,17.1,39.8,58.8,17.2,11.7,78.2,9.6,66.9,439.0,438.0,31.7,13258.53,Level 2,26.0,Struggling,Everett High faces challenges with low graduation and college attendance rates.,Diversity,Graduation,High School,Performing,Level 2
Fairhaven High,Fairhaven High,Fairhaven,Public School,616,15.1,21.6,30.5,0.8,12.0,92.2,2.8,78.2,517.0,512.0,64.9,12046.13,Level 1,52.0,Performing,"Fairhaven High has a strong graduation rate and college attendance, indicating solid overall performance.",Graduation Rate,SAT Scores,High School,Thriving,Level 1
B M C Durfee High,B M C Durfee Hi,Fall River,Public School,2123,16.5,55.2,63.9,9.8,18.4,79.2,12.7,66.2,477.0,495.0,51.9,14076.23,Level 3,9.0,Struggling,The school faces significant challenges with a high dropout rate and low college attendance.,AP performance,Dropout rate,High School,Struggling,Level 3
Resiliency Preparatory School,Resiliency Prep,Fall River,Public School,162,7.6,74.7,81.5,1.9,27.2,34.7,36.8,22.0,,,,14076.23,Level 3,,At Risk,The school has a critically low graduation rate and a high dropout rate.,Small class size,Low graduation rates,High School,At Risk,Level 3
Falmouth High,Falmouth High,Falmouth,Public School,882,14.4,24.3,32.7,1.8,13.6,87.7,5.4,77.0,540.0,518.0,76.9,15804.68,Level 1,61.0,Performing,Falmouth High boasts a strong AP success rate with 76.9% of scores in the 3-5 range.,AP success,SAT scores,High School,Performing,Level 1
Fitchburg High,Fitchburg High,Fitchburg,Public School,1211,20.3,54.0,63.7,7.1,21.7,86.1,6.4,67.6,414.0,395.0,25.2,13783.33,Level 3,10.0,Struggling,Fitchburg High faces challenges with low SAT scores and a low accountability percentile.,Graduation Rate,SAT Scores,High School,Performing,Level 3
Goodrich Academy,Goodrich Acad,Fitchburg,Public School,172,7.0,60.5,72.1,2.9,32.0,55.7,17.1,26.0,,,,13783.33,Insufficient data,,At Risk,Goodrich Academy faces significant challenges with low graduation and college attendance rates.,Small class size,Graduation,High School,At Risk,Insufficient data
Foxborough High,Foxborough High,Foxborough,Public School,837,13.6,13.6,26.8,0.5,17.9,96.4,0.4,81.9,534.0,520.0,71.0,15206.93,Level 2,64.0,Performing,Foxborough High boasts a high graduation rate and solid college attendance figures.,Graduation rate,SAT scores,High School,Thriving,Level 2
Abby Kelley Foster Charter Public School,Abby Kelley Fos,Worcester,Charter School,1425,18.7,37.2,51.2,7.2,10.3,96.1,2.6,82.9,472.0,482.0,,,,46.0,Performing,The school boasts a high graduation rate and college attendance despite modest SAT scores.,Graduation rate,SAT scores,High School,Thriving,
Academy Of the Pacific Rim Charter Public School,Acad Pacific Ri,Hyde Park,Charter School,527,22.8,38.3,58.3,11.8,24.3,91.1,0.0,92.9,,,16.7,,Level 2,57.0,Performing,The school boasts a high graduation and college attendance rate but struggles with AP performance.,Graduation Rate,AP Scores,High School,Thriving,Level 2
Acton-Boxborough Regional High,Acton-Boxboroug,Acton,Public School,1864,19.9,4.9,16.3,0.9,11.6,98.3,0.8,89.0,641.0,617.0,94.5,14016.2,Level 1,98.0,Thriving,Acton-Boxborough Regional High boasts an impressive graduation rate and outstanding AP performance.,Graduation rate,None,High School,Thriving,Level 1
Hoosac Valley Middle & High School,Hoosac Valley M,Cheshire,Public School,622,14.1,39.2,48.2,0.8,22.3,83.3,8.3,82.3,489.0,494.0,49.6,12906.46,Level 3,11.0,Performing,Hoosac Valley exhibits solid graduation and college attendance rates but average SAT performance.,Graduation,SAT scores,High School,Performing,Level 3
Advanced Math and Science Academy Charter School,Advanced Math S,Marlborough,Charter School,952,19.3,6.1,11.7,1.3,4.8,100.0,0.0,89.8,658.0,606.0,84.7,,Level 2,98.0,Thriving,"The school boasts a 100% graduation rate and 89.8% college attendance, indicating exceptional success.",Graduation,N/A,High School,Thriving,Level 2
Amherst Regional High,Amherst Reg Hig,Amherst,Public School,926,12.9,21.9,34.3,4.2,17.8,91.6,3.1,83.7,601.0,594.0,87.5,19978.57,Level 2,59.0,Thriving,Amherst Regional High boasts a high graduation rate and impressive AP performance.,Graduation rate,N/A,High School,Thriving,Level 2
Oakmont Regional High School,Oakmont Reg HS,Ashburnham,Public School,702,16.0,14.1,25.8,0.9,15.8,94.1,0.0,87.8,514.0,511.0,72.5,12755.48,Level 2,70.0,Thriving,Oakmont Regional High School excels with a high graduation rate and strong college attendance.,Graduation Rate,SAT Scores,High School,Thriving,Level 2
Assabet Valley Vocational High School,Assabet Valley,Marlborough,Public School,1103,16.2,22.5,47.1,2.8,29.2,95.9,1.6,51.5,438.0,439.0,31.5,18673.36,Level 2,32.0,Performing,Assabet Valley maintains a high graduation rate despite moderate college attendance and test scores.,Graduation rate,College attendance,High School,Struggling,Level 2
Athol High,Athol High,Athol,Public School,358,13.7,45.3,56.1,0.8,26.8,75.0,13.9,59.2,473.0,466.0,12.1,13694.87,Level 3,12.0,Struggling,Athol High faces challenges with low graduation rates and college attendance.,Small class size,High dropout rate,High School,Struggling,Level 3
Ayer Shirley Regional High School,Ayer Shirley Re,Ayer,Public School,409,15.4,25.2,38.1,2.4,19.8,93.3,5.6,67.2,511.0,504.0,61.7,13974.81,Level 2,34.0,Performing,"The graduation rate is strong at 93.3%, indicating solid student retention.",Graduation Rate,College Attendance,High School,Performing,Level 2
Berkshire Arts and Technology Charter Public School,Berkshire Arts,Adams,Charter School,356,15.8,41.9,52.8,1.7,21.1,91.3,0.0,73.7,502.0,514.0,36.1,,Level 2,57.0,Performing,"Berkshire Arts has a strong graduation rate and low dropout rate, indicating solid overall performance.",Graduation rate,SAT scores,High School,Thriving,Level 2
Monument Mt Regional High,Monument Mt Reg,Great Barrington,Public School,547,12.1,22.1,30.7,1.1,14.1,90.3,2.1,81.9,522.0,547.0,82.8,17257.77,Level 2,56.0,Performing,Monument Mt Regional High boasts strong graduation and college attendance rates.,Graduation rate,SAT scores,High School,Thriving,Level 2
Tahanto Regional High,Tahanto Reg Hig,Boylston,Public School,584,16.2,9.4,24.3,1.2,15.9,94.3,2.9,82.8,528.0,526.0,77.5,14199.63,Level 2,87.0,Performing,Tahanto Regional High demonstrates strong graduation and college attendance rates.,Graduation rate,SAT scores,High School,Thriving,Level 2
Blackstone Valley,Blackstone Vall,Upton,Public School,1206,17.4,10.0,19.2,0.2,9.8,99.3,0.7,79.3,502.0,485.0,37.4,18348.63,Level 1,94.0,Thriving,Blackstone Valley boasts an impressive graduation rate of 99.3% and a strong college attendance rate.,Graduation rate,SAT scores,High School,Thriving,Level 1
Blackstone Millville RHS,Blackstone Mill,Blackstone,Public School,448,15.4,17.9,29.7,1.3,14.5,94.2,0.8,62.2,514.0,519.0,56.6,13135.7,Level 2,50.0,Performing,Blackstone Millville RHS boasts a high graduation rate of 94.2%.,Graduation Rate,College Attendance,High School,Performing,Level 2
