School Name,School Name Short,Town,School Type,TOTAL_Enrollment,Average Class Size,% Economically Disadvantaged,% High Needs,Average Expenditures per Pupil,Accountability and Assistance Level,School Accountability Percentile (1-99),AI_Classification,AI_Insight,AI_Key_Strength,AI_Key_Concern,School_Level
Boston International High School,Boston Intl HS,Dorchester,Public School,378,15.3,60.3,99.5,19246.36,Level 1,,Struggling,The school has a high dropout rate despite a notable college attendance percentage.,College Attendance,Graduation Rate,High School
Boston Latin,Boston Latin,Boston,Public School,2403,25.8,15.7,20.8,19246.36,Level 2,96.0,Thriving,Boston Latin boasts exceptional graduation and college attendance rates alongside high SAT and AP scores.,Achievement,Equity,High School
Boston Latin Academy,Boston Latin Ac,Dorchester,Public School,1698,17.9,31.7,36.6,19246.36,Level 2,91.0,Thriving,Boston Latin Academy boasts a remarkable graduation rate of 96.9% and high college attendance.,Graduation rate,SAT scores,High School
Brighton High,Brighton High,Brighton,Public School,811,17.8,61.0,86.2,19246.36,Level 4,2.0,At Risk,Brighton High faces significant challenges with low graduation rates and high dropout rates.,Diversity,Graduation,High School
Charlestown High,Charlestown Hig,Charlestown,Public School,910,15.2,62.9,87.4,19246.36,Level 3,9.0,At Risk,Charlestown High faces significant challenges with a graduation rate below 54% and a high dropout rate.,College attendance,Graduation rate,High School
Community Academy of Science and Health,Comm Acad Sci H,Dorchester,Public School,365,16.6,66.8,86.6,19246.36,Level 3,6.0,Struggling,"The school's SAT scores are significantly below average, indicating academic challenges.",Graduation rate,SAT performance,High School
Dorchester Academy,Dorchester Acad,Dorchester,Public School,99,10.7,72.7,77.8,19246.36,Level 4,,At Risk,Dorchester Academy has a notably low graduation rate of just 16.4%.,Support,Graduation,High School
East Boston High,E Boston High,East Boston,Public School,1496,17.7,46.0,80.2,19246.36,Level 3,6.0,At Risk,East Boston High shows alarmingly low graduation and college attendance rates.,Community support,Low achievement,High School
Excel High School,Excel HS,South Boston,Public School,525,17.0,64.6,84.4,19246.36,Level 4,3.0,At Risk,"Excel High School has high dropout rates and low graduation rates, indicating severe challenges.",College Attendance,Graduation Rate,High School
Fenway High School,Fenway HS,Roxbury,Public School,360,21.9,48.3,66.9,19246.36,Level 1,37.0,Performing,Fenway High School has a commendable graduation rate and college attendance despite challenges faced by its student population.,Graduation Rate,SAT Scores,High School
Greater Egleston Community High School,Greater Eglesto,Roxbury,Public School,225,15.3,60.0,75.1,19246.36,Level 3,,At Risk,The school's graduation rate is critically low at only 27.1%.,College Attendance,Graduation Rate,High School
Jeremiah E Burke High,Jeremiah E Burk,Dorchester,Public School,489,18.2,61.1,82.6,19246.36,Level 3,11.0,Struggling,The school faces significant challenges with low graduation and college attendance rates.,Enrollment,Dropout rate,High School
Lyon Upper 9-12,Lyon Upper 9-12,Brighton,Public School,126,11.9,49.2,78.6,19246.36,Level 3,7.0,Struggling,The school faces challenges with low SAT scores despite a good graduation rate.,Graduation rate,SAT scores,High School
Madison Park High,Madison Park Hi,Roxbury,Public School,841,11.7,68.1,87.9,19246.36,Level 4,1.0,At Risk,Madison Park High has a significantly low graduation rate and high dropout rate.,Enrollment,Graduation,High School
New Mission High School,New Mission HS,Hyde Park,Public School,320,16.5,53.1,60.9,19246.36,Level 1,64.0,Performing,New Mission HS boasts a high graduation rate and college attendance despite modest SAT and AP scores.,Graduation rate,Standardized tests,High School
O'Bryant School Math/Science,O'Bryant Sch Ma,Roxbury,Public School,1437,22.3,44.7,52.0,19246.36,Level 1,87.0,Thriving,O'Bryant School boasts a high graduation rate and impressive college attendance among its students.,Graduation Rate,SAT Scores,High School
Quincy Upper School,Quincy Upper,Boston,Public School,506,24.7,63.6,76.7,19246.36,Level 3,26.0,Performing,Quincy Upper School demonstrates solid graduation and college attendance rates despite economic challenges.,Graduation rates,SAT scores,High School
Snowden International School at Copley,Snowden Intl Sc,Boston,Public School,439,17.7,62.6,75.6,19246.36,Level 3,10.0,Struggling,Graduation and SAT scores indicate significant challenges for student success at Snowden International School.,College Attendance,Graduation Rate,High School
TechBoston Academy,TechBoston Acad,Dorchester,Public School,972,17.3,66.6,81.7,19246.36,Level 2,19.0,Performing,TechBoston Academy has a solid graduation rate but struggles with SAT scores.,Graduation rate,SAT scores,High School
The English High,English High,Jamaica Plain,Public School,553,15.1,65.3,82.6,19246.36,Level 4,18.0,At Risk,The school has a notably low graduation rate and high dropout rate.,Diversity,Graduation,High School
Urban Science Academy,Urban Sci Acad,West Roxbury,Public School,432,15.3,55.1,69.2,19246.36,Level 3,5.0,Struggling,Urban Science Academy faces significant challenges with low graduation and college attendance rates.,Small class size,Low graduation rate,High School
West Roxbury Academy,W Roxbury Acad,West Roxbury,Public School,496,18.0,59.5,79.2,19246.36,Level 3,4.0,Struggling,West Roxbury Academy has notably low SAT scores and no AP students scoring 3 or higher.,Engagement,Academic performance,High School
William McKinley,William McKinle,Boston,Public School,337,6.7,74.5,99.7,19246.36,Level 3,5.0,At Risk,The school faces severe challenges with a graduation rate of only 29.4%.,Support,Graduation,High School
Bourne High School,Bourne HS,Bourne,Public School,436,16.4,24.8,32.6,14969.24,Level 2,48.0,Performing,"Bourne HS has a solid graduation rate and AP performance, but average college attendance.",Graduation rate,College attendance,High School
Braintree High,Braintree High,Braintree,Public School,1755,16.1,17.9,34.5,13837.58,Level 2,68.0,Thriving,Braintree High boasts impressive graduation rates and high AP success.,Graduation Rate,SAT Scores,High School
Brockton Champion High School,Brockton Champi,Brockton,Public School,177,8.2,64.4,76.3,14213.65,Level 3,,At Risk,Brockton Champion High School has a notably low graduation rate of 37.8%.,College Attendance,Graduation Rate,High School
Brockton High,Brockton High,Brockton,Public School,4264,20.4,46.8,62.1,14213.65,Level 1,36.0,Performing,Brockton High has a strong graduation rate but faces challenges in SAT performance.,Graduation rate,SAT scores,High School
Edison Academy,Edison Acad,Brockton,Public School,153,10.8,54.2,88.2,14213.65,Insufficient data,,At Risk,"The graduation rate is critically low at 44.6%, indicating urgent intervention is needed.",Engagement,Graduation,High School
Brookline High,Brookline High,Brookline,Public School,2009,14.3,11.7,28.0,17652.46,Level 1,81.0,Thriving,Brookline High boasts high graduation rates and outstanding AP performance.,AP Scores,None,High School
Burlington High,Burlington High,Burlington,Public School,1103,15.4,8.3,19.9,19237.98,Level 2,65.0,Thriving,Burlington High boasts an impressive graduation rate of 97.2% alongside strong college attendance.,Graduation Rate,SAT Scores,High School
Cambridge Rindge and Latin,Cambridge Rindg,Cambridge,Public School,1956,15.5,27.4,40.5,27568.87,Level 2,48.0,Performing,The school boasts a high graduation rate and commendable college attendance.,Graduation rate,SAT scores,High School
Canton High,Canton High,Canton,Public School,951,17.1,11.6,17.8,14167.52,Level 2,75.0,Thriving,Canton High boasts an impressive graduation rate and college attendance percentage.,Graduation Rate,SAT Scores,High School
Carver Middle/High School,Carver Middle/H,Carver,Public School,836,15.5,17.9,31.5,14262.48,Level 2,34.0,Performing,Carver Middle/High School demonstrates solid graduation rates and college attendance with average academic performance.,Graduation Rate,SAT Scores,High School
Chelmsford High,Chelmsford High,North Chelmsford,Public School,1484,16.8,8.6,20.4,13288.93,Level 1,84.0,Thriving,Chelmsford High boasts a high graduation rate and strong college attendance.,Graduation rate,None,High School
Chelsea High,Chelsea High,Chelsea,Public School,1545,23.0,46.7,71.9,13770.24,Level 3,4.0,Struggling,Chelsea High faces significant challenges with a high dropout rate and low graduation rates.,College Attendance,Graduation Rate,High School
Chicopee Comprehensive High School,Chicopee Compre,Chicopee,Public School,1430,15.9,42.4,50.1,13659.72,Level 3,8.0,Struggling,Chicopee Comprehensive High School shows concerning graduation and college attendance rates despite a moderate engagement level.,Graduation rate,College attendance,High School
Chicopee High,Chicopee High,Chicopee,Public School,947,13.7,47.4,56.4,13659.72,Level 3,5.0,Struggling,Chicopee High's high dropout rate highlights significant challenges in student retention.,College Attendance,Dropout Rate,High School
Clinton Senior High,Clinton Senior,Clinton,Public School,466,12.6,33.3,45.7,12929.6,Level 2,39.0,Performing,Clinton Senior High has strong graduation and college attendance rates.,Graduation rate,SAT scores,High School
Cohasset Middle/High School,Cohasset Middle,Cohasset,Public School,838,17.8,4.3,16.2,14937.37,Level 1,92.0,Thriving,Cohasset Middle/High School boasts an exceptional graduation rate and high college attendance.,Graduation Rate,N/A,High School
Danvers High,Danvers High,Danvers,Public School,974,16.7,14.2,26.0,14607.15,Level 2,58.0,Performing,Danvers High boasts a high graduation rate with strong AP performance.,Graduation rate,SAT scores,High School
Dartmouth High,Dartmouth High,Dartmouth,Public School,1064,16.8,15.8,23.9,12487.23,Level 2,45.0,Performing,Dartmouth High boasts a strong graduation rate and high AP performance.,Graduation rate,SAT scores,High School
Dedham High,Dedham High,Dedham,Public School,739,15.8,18.0,32.1,17779.59,Level 2,70.0,Performing,Dedham High has high graduation and college attendance rates with solid AP performance.,Graduation rate,SAT scores,High School
Douglas High School,Douglas HS,Douglas,Public School,394,13.7,12.7,26.4,11612.24,Level 2,38.0,Performing,Douglas High School demonstrates solid graduation and college attendance rates with average SAT performance.,Graduation,SAT Scores,High School
Dracut Senior High,Dracut Senior H,Dracut,Public School,801,18.5,13.9,22.3,11380.49,Level 2,60.0,Performing,Dracut Senior High demonstrates strong graduation and college attendance rates.,Graduation rate,SAT scores,High School
Duxbury High,Duxbury High,Duxbury,Public School,1057,19.8,5.5,16.0,13156.23,Level 1,95.0,Thriving,Duxbury High boasts an impressive graduation rate of 98.5% and strong college attendance.,Graduation,SAT Scores,High School
East Bridgewater JR./SR. High School,E Bridgewater J,East Bridgewater,Public School,1051,19.9,14.1,25.7,10399.97,Level 2,56.0,Performing,The school boasts a high graduation rate and college attendance despite average SAT and AP scores.,Graduation,SAT scores,High School
East Longmeadow High,E Longmeadow Hi,East Longmeadow,Public School,870,17.0,13.7,26.8,13554.78,Level 2,66.0,Thriving,East Longmeadow High boasts an impressive graduation rate and college attendance.,Graduation rate,SAT scores,High School
Easthampton High,Easthampton Hig,Easthampton,Public School,471,17.9,27.6,37.6,12916.13,Level 1,32.0,Performing,Easthampton High shows solid graduation and college attendance rates with moderate SAT and AP performance.,Graduation rate,SAT scores,High School
Oliver Ames High,Oliver Ames Hig,North Easton,Public School,1199,19.6,10.5,23.6,12730.58,Level 2,63.0,Thriving,Oliver Ames High boasts a high graduation rate and strong college attendance statistics.,Graduation Rate,N/A,High School
Everett High,Everett High,Everett,Public School,2023,17.1,39.8,58.8,13258.53,Level 2,26.0,Struggling,Everett High faces challenges with low graduation and college attendance rates.,Diversity,Graduation,High School
Fairhaven High,Fairhaven High,Fairhaven,Public School,616,15.1,21.6,30.5,12046.13,Level 1,52.0,Performing,"Fairhaven High has a strong graduation rate and college attendance, indicating solid overall performance.",Graduation Rate,SAT Scores,High School
B M C Durfee High,B M C Durfee Hi,Fall River,Public School,2123,16.5,55.2,63.9,14076.23,Level 3,9.0,Struggling,The school faces significant challenges with a high dropout rate and low college attendance.,AP performance,Dropout rate,High School
Resiliency Preparatory School,Resiliency Prep,Fall River,Public School,162,7.6,74.7,81.5,14076.23,Level 3,,At Risk,The school has a critically low graduation rate and a high dropout rate.,Small class size,Low graduation rates,High School
Falmouth High,Falmouth High,Falmouth,Public School,882,14.4,24.3,32.7,15804.68,Level 1,61.0,Performing,Falmouth High boasts a strong AP success rate with 76.9% of scores in the 3-5 range.,AP success,SAT scores,High School
Fitchburg High,Fitchburg High,Fitchburg,Public School,1211,20.3,54.0,63.7,13783.33,Level 3,10.0,Struggling,Fitchburg High faces challenges with low SAT scores and a low accountability percentile.,Graduation Rate,SAT Scores,High School
Goodrich Academy,Goodrich Acad,Fitchburg,Public School,172,7.0,60.5,72.1,13783.33,Insufficient data,,At Risk,Goodrich Academy faces significant challenges with low graduation and college attendance rates.,Small class size,Graduation,High School
Foxborough High,Foxborough High,Foxborough,Public School,837,13.6,13.6,26.8,15206.93,Level 2,64.0,Performing,Foxborough High boasts a high graduation rate and solid college attendance figures.,Graduation rate,SAT scores,High School
Abby Kelley Foster Charter Public School,Abby Kelley Fos,Worcester,Charter School,1425,18.7,37.2,51.2,,,46.0,Performing,The school boasts a high graduation rate and college attendance despite modest SAT scores.,Graduation rate,SAT scores,High School
Academy Of the Pacific Rim Charter Public School,Acad Pacific Ri,Hyde Park,Charter School,527,22.8,38.3,58.3,,Level 2,57.0,Performing,The school boasts a high graduation and college attendance rate but struggles with AP performance.,Graduation Rate,AP Scores,High School
Acton-Boxborough Regional High,Acton-Boxboroug,Acton,Public School,1864,19.9,4.9,16.3,14016.2,Level 1,98.0,Thriving,Acton-Boxborough Regional High boasts an impressive graduation rate and outstanding AP performance.,Graduation rate,None,High School
Hoosac Valley Middle & High School,Hoosac Valley M,Cheshire,Public School,622,14.1,39.2,48.2,12906.46,Level 3,11.0,Performing,Hoosac Valley exhibits solid graduation and college attendance rates but average SAT performance.,Graduation,SAT scores,High School
Advanced Math and Science Academy Charter School,Advanced Math S,Marlborough,Charter School,952,19.3,6.1,11.7,,Level 2,98.0,Thriving,"The school boasts a 100% graduation rate and 89.8% college attendance, indicating exceptional success.",Graduation,N/A,High School
Amherst Regional High,Amherst Reg Hig,Amherst,Public School,926,12.9,21.9,34.3,19978.57,Level 2,59.0,Thriving,Amherst Regional High boasts a high graduation rate and impressive AP performance.,Graduation rate,N/A,High School
Oakmont Regional High School,Oakmont Reg HS,Ashburnham,Public School,702,16.0,14.1,25.8,12755.48,Level 2,70.0,Thriving,Oakmont Regional High School excels with a high graduation rate and strong college attendance.,Graduation Rate,SAT Scores,High School
Assabet Valley Vocational High School,Assabet Valley,Marlborough,Public School,1103,16.2,22.5,47.1,18673.36,Level 2,32.0,Performing,Assabet Valley maintains a high graduation rate despite moderate college attendance and test scores.,Graduation rate,College attendance,High School
Athol High,Athol High,Athol,Public School,358,13.7,45.3,56.1,13694.87,Level 3,12.0,Struggling,Athol High faces challenges with low graduation rates and college attendance.,Small class size,High dropout rate,High School
Ayer Shirley Regional High School,Ayer Shirley Re,Ayer,Public School,409,15.4,25.2,38.1,13974.81,Level 2,34.0,Performing,"The graduation rate is strong at 93.3%, indicating solid student retention.",Graduation Rate,College Attendance,High School
Berkshire Arts and Technology Charter Public School,Berkshire Arts,Adams,Charter School,356,15.8,41.9,52.8,,Level 2,57.0,Performing,"Berkshire Arts has a strong graduation rate and low dropout rate, indicating solid overall performance.",Graduation rate,SAT scores,High School
Monument Mt Regional High,Monument Mt Reg,Great Barrington,Public School,547,12.1,22.1,30.7,17257.77,Level 2,56.0,Performing,Monument Mt Regional High boasts strong graduation and college attendance rates.,Graduation rate,SAT scores,High School
Tahanto Regional High,Tahanto Reg Hig,Boylston,Public School,584,16.2,9.4,24.3,14199.63,Level 2,87.0,Performing,Tahanto Regional High demonstrates strong graduation and college attendance rates.,Graduation rate,SAT scores,High School
Blackstone Valley,Blackstone Vall,Upton,Public School,1206,17.4,10.0,19.2,18348.63,Level 1,94.0,Thriving,Blackstone Valley boasts an impressive graduation rate of 99.3% and a strong college attendance rate.,Graduation rate,SAT scores,High School
Blackstone Millville RHS,Blackstone Mill,Blackstone,Public School,448,15.4,17.9,29.7,13135.7,Level 2,50.0,Performing,Blackstone Millville RHS boasts a high graduation rate of 94.2%.,Graduation Rate,College Attendance,High School
Blue Hills Regional Vocational Technical,Blue Hills Reg,Canton,Public School,867,15.8,22.7,42.0,21335.09,Level 2,60.0,Performing,The school boasts a high graduation rate of 97.4% and no dropouts.,Graduation,SAT scores,High School
Boston Collegiate Charter School,Boston Collegia,Dorchester,Charter School,680,20.6,29.4,44.6,,Level 2,76.0,Performing,Boston Collegiate Charter School has a high graduation rate and strong college attendance.,Graduation Rate,SAT Scores,High School
Boston Day and Evening Academy Charter School,Boston Day Even,Roxbury,Charter School,404,15.8,56.2,70.8,,Level 3,,At Risk,"The school has alarmingly low graduation and high dropout rates, signaling a need for urgent support.",College attendance,Graduation rate,High School
Boston Green Academy Horace Mann Charter School,Boston Green Ac,Brighton,Charter School,476,14.4,61.1,75.0,,Level 3,10.0,Struggling,The school has low SAT scores and a high percentage of economically disadvantaged students.,Graduation rate,SAT scores,High School
Boston Preparatory Charter Public School,Boston Prep CS,Hyde Park,Charter School,415,34.0,39.0,61.7,,Level 2,64.0,Performing,High college attendance rates indicate strong post-graduation aspirations among students.,College Attendance,SAT Scores,High School
Bridgewater-Raynham Regional,Bridgewater-Ray,Bridgewater,Public School,1512,16.9,12.0,20.5,12759.08,Level 3,36.0,Performing,Bridgewater-Raynham Regional shows solid graduation and college attendance rates.,Graduation rate,SAT scores,High School
Bristol County Agricultural High,Bristol County,Dighton,Public School,468,17.7,17.1,27.6,19277.31,Level 2,63.0,Thriving,Bristol County maintains a perfect graduation rate and has a commendable college attendance rate.,Graduation rate,SAT scores,High School
Bristol-Plymouth Vocational Technical,Bristol-Plymout,Taunton,Public School,1303,17.4,26.2,38.4,17515.74,Level 1,61.0,Performing,The school boasts a high graduation rate of 97.1% while showing room for improvement in college attendance.,Graduation Rate,College Attendance,High School
Cape Cod Region Vocational Technical,Cape Cod Region,Harwich,Public School,623,13.3,35.8,54.9,24490.44,Level 2,41.0,Performing,"The graduation rate is strong, but college attendance is notably low.",Graduation rate,College attendance,High School
Wahconah Regional High,Wahconah Reg Hi,Dalton,Public School,543,15.1,21.2,27.8,15105.28,Level 2,69.0,Performing,Wahconah Regional High has a high graduation rate and strong college attendance.,Graduation Rate,SAT Scores,High School
City on a Hill Charter Public School Circuit Street,City on a Hill,Roxbury,Charter School,279,12.1,56.3,70.3,,Level 2,57.0,Performing,High college attendance rates indicate strong post-graduation opportunities for students.,College attendance,SAT scores,High School
Codman Academy Charter Public School,Codman Acad CS,Dorchester,Charter School,359,17.8,51.8,65.2,,Level 1,42.0,Performing,Codman Academy has a strong college attendance rate despite moderate graduation and SAT performance.,College Attendance,Graduation Rate,High School
Community Charter School of Cambridge,Comm CS Cambrid,Cambridge,Charter School,374,16.7,34.8,49.7,,Level 1,84.0,Thriving,The school boasts a high graduation rate and excellent college attendance.,Graduation rate,SAT scores,High School
Concord Carlisle High,Concord Carlisl,Concord,Public School,1276,15.3,5.4,21.1,21518.71,Level 2,85.0,Thriving,Concord Carlisle High boasts a remarkable graduation rate of 98.3% and excellent AP performance.,Graduation Rate,Equity,High School
Dennis-Yarmouth Regional High,Dennis-Yarmouth,South Yarmouth,Public School,1003,14.7,34.3,46.8,16498.76,Level 2,31.0,Performing,"The graduation rate is strong at 87.9%, indicating solid overall student retention.",Graduation rate,SAT scores,High School
Dighton-Rehoboth Regional High School,Dighton-Rehobot,North Dighton,Public School,928,16.9,14.0,23.0,13315.89,Level 2,77.0,Performing,Dighton-Rehoboth boasts a strong graduation rate of 92.9% with a solid college attendance percentage.,Graduation Rate,SAT Scores,High School
Dover-Sherborn Regional High,Dover-Sherborn,Dover,Public School,652,12.9,3.4,14.6,18672.58,Level 1,99.0,Thriving,Dover-Sherborn boasts an exceptional graduation rate and high college attendance.,Graduation Rate,None,High School
Shepherd Hill Regional High,Shepherd Hill R,Dudley,Public School,1166,19.2,17.2,24.0,11584.81,Level 2,46.0,Performing,Shepherd Hill Regional High has a strong graduation rate and college attendance.,Graduation rate,SAT scores,High School
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter School),Edward M. Kenne,Boston,Charter School,359,17.1,54.0,68.0,,Level 2,35.0,Performing,The school maintains a solid graduation rate while facing challenges in SAT and AP performance.,Graduation Rate,SAT Scores,High School
Essex Technical High School,Essex Tech HS,Hathorne,Public School,1307,16.1,21.0,38.3,21470.17,Level 1,76.0,Thriving,Essex Technical High School boasts a high graduation rate with low dropout rates.,Graduation,SAT Scores,High School
Four Rivers Charter Public School,Four Rivers CS,Greenfield,Charter School,220,13.7,29.5,40.0,,Level 2,79.0,Performing,"The school shows solid graduation rates and college attendance, but SAT scores indicate room for improvement.",Graduation Rate,SAT Scores,High School
Foxborough Regional Charter School,Foxborough Reg,Foxborough,Charter School,1261,22.2,17.0,32.8,,Level 2,66.0,Error,Expecting value: line 1 column 1 (char 0),N/A,N/A,High School
Framingham High School,Framingham HS,Framingham,Public School,2102,17.0,22.7,39.9,17447.64,Level 2,62.0,Performing,Framingham High School has a solid graduation rate and AP performance.,Graduation rate,College attendance,High School
Francis W. Parker Charter Essential School,Francis W. Park,Devens,Charter School,395,17.7,5.3,19.7,,Level 2,70.0,Thriving,The school boasts an impressive college attendance rate of 91.5%.,College Attendance,N/A,High School
Franklin High,Franklin High,Franklin,Public School,1739,16.9,5.9,17.4,12435.24,Level 1,73.0,Thriving,Franklin High boasts a high graduation rate and exceptional college attendance.,Graduation,SAT Scores,High School
Franklin County Technical,Franklin County,Turners Falls,Public School,488,13.1,35.7,52.0,23624.62,Level 2,27.0,Performing,Franklin County has a solid graduation rate but low college attendance and AP performance.,Graduation Rate,College Attendance,High School
Apponequet Regional High,Apponequet Reg,Lakeville,Public School,725,15.0,10.8,21.2,12187.71,Level 2,71.0,Thriving,Apponequet Regional High boasts strong graduation and college attendance rates.,Graduation rate,None,High School
Frontier Regional,Frontier Reg,South Deerfield,Public School,611,13.3,17.5,31.1,17416.44,Level 2,54.0,Performing,"Frontier Regional shows solid graduation and college attendance rates, indicating a supportive educational environment.",Graduation Rate,SAT Scores,High School
Gardner Academy for Learning and Technology,Gardner Acad Lr,Gardner,Public School,93,11.0,65.6,76.3,12530.13,Insufficient data,,At Risk,"The school has a low graduation rate and a high dropout rate, indicating urgent intervention is needed.",Small class sizes,Low graduation rate,High School
Gardner High,Gardner High,Gardner,Public School,711,15.9,41.5,50.4,12530.13,Level 3,20.0,Performing,Gardner High has a high graduation rate but average SAT scores.,Graduation Rate,SAT Scores,High School
Gateway Regional High,Gateway Reg Hig,Huntington,Public School,220,11.6,28.6,37.7,15338.32,Level 1,41.0,Performing,Gateway Regional High has strong graduation and college attendance rates.,Graduation rate,SAT scores,High School
Georgetown High School,Georgetown HS,Georgetown,Public School,411,12.8,10.2,20.4,12601.51,Level 1,83.0,Thriving,Georgetown High School boasts a remarkable graduation rate and 100% success in AP scores.,Graduation,SAT Scores,High School
Turners Fall High,Turners Fall Hi,Montague,Public School,231,12.0,34.6,44.6,15659.26,Level 3,17.0,Struggling,Turners Fall High has a significant dropout rate and low accountability percentile.,AP Scores,Dropout Rate,High School
Global Learning Charter Public School,Global Lrn CS P,New Bedford,Charter School,507,16.4,49.7,59.4,,Level 2,35.0,Performing,The school has a solid graduation rate and college attendance but room for improvement in SAT scores.,Graduation rate,SAT scores,High School
Gloucester High,Gloucester High,Gloucester,Public School,818,14.9,32.6,47.9,16065.93,Level 2,29.0,Performing,Gloucester High shows solid graduation rates but average college attendance and SAT scores.,Graduation rate,College attendance,High School
Grafton High School,Grafton HS,Grafton,Public School,835,18.0,10.8,21.7,11043.15,Level 2,58.0,Performing,"Grafton HS has a solid graduation rate and college attendance, with room for improvement in SAT scores.",Graduation rate,SAT scores,High School
Granby Jr Sr High School,Granby Jr Sr HS,Granby,Public School,381,14.8,20.5,30.7,11933.06,Level 2,44.0,Performing,"Granby Jr Sr High School shows solid graduation rates and college attendance, indicating steady performance.",Graduation rate,SAT scores,High School
